#{"t_start": 1754743158.517612, "env_id": "None"}
r,l,t
537.76243,55,5.29349
125.883792,92,7.961906
226.428065,184,12.537392
279.054359,180,17.064466
-216.116967,200,21.654404
393.268151,115,24.765628
-217.150187,200,29.565504
-208.078595,200,34.994734
227.593194,2,35.381446
-259.962381,200,40.802817
-205.317369,200,46.225987
-230.85462,200,51.673745
532.560258,50,53.632648
399.67246,110,57.125921
-194.527936,200,62.563746
-195.021281,200,67.99981
577.193911,27,69.33024
169.971141,28,70.392628
-226.950053,200,75.813391
-194.135495,200,81.314356
19.725461,104,84.365293
-92.622009,159,88.846591
608.708799,11,89.708712
594.292049,24,91.026227
-197.729798,200,96.448178
-222.68291,200,101.871742
179.757411,89,104.771768
56.388399,90,107.49367
209.113994,12,108.15274
406.649769,122,111.990747
492.092014,77,114.639541
448.982769,95,117.761077
569.531474,39,119.402789
505.015492,68,121.785896
204.066164,14,122.462784
258.964953,50,124.369974
133.990689,56,126.176325
536.450922,54,128.241249
207.691297,14,128.95946
509.639617,69,131.474256
297.572565,9,132.291641
356.171934,131,136.358538
204.233811,192,142.13749
-13.845298,119,145.636276
103.65084,68,148.223054
302.86366,150,153.105881
518.681684,74,155.785765
556.280563,48,157.686482
340.708841,139,161.949433
125.789646,63,163.940532
560.335841,47,165.819034
581.81247,35,167.388447
-163.812537,200,172.913713
481.539307,97,176.089886
206.021815,15,176.814384
151.023828,50,178.481386
229.0,1,178.839507
200.926521,45,180.630623
-192.857263,200,186.018485
-78.972038,177,190.995315
-175.092129,200,196.423307
576.894334,35,197.971109
624.409896,25,199.237064
575.613486,42,201.044811
537.389491,62,203.299422
598.508388,26,204.567886
376.490556,135,208.729745
590.5208,45,210.550597
179.342571,101,213.794963
486.756758,76,216.44756
-166.422749,200,221.840646
312.338111,24,223.082288
218.298637,6,223.562235
587.200569,32,225.016367
192.963798,21,225.930291
528.446699,81,228.661947
-176.131787,200,234.109854
177.950972,31,235.282489
627.353277,24,236.510908
601.688431,19,237.644272
579.936814,37,239.357734
559.168781,52,241.341856
598.361446,24,242.611645
532.926155,63,244.899949
602.824636,22,246.141472
221.982171,6,246.608846
640.35706,16,247.729914
625.191201,5,248.575372
480.167772,102,251.926533
623.374402,26,253.263572
157.286127,44,254.763454
553.380871,50,256.715012
224.432694,191,262.459903
614.370358,12,263.412941
138.091559,58,265.259117
634.83954,3,265.991745
623.099481,8,266.815016
321.249936,22,268.006246
481.441282,99,271.241923
189.012441,28,272.297202
584.531604,36,273.893198
531.913193,61,276.14077
504.361495,81,278.893599
