#{"t_start": 1755046992.0441716, "env_id": "None"}
r,l,t
-213.589049,200,4.601223
-204.712135,200,9.217032
557.757958,39,10.77707
-186.53746,200,15.336181
577.083568,25,16.46331
-267.523536,200,21.142173
350.294139,140,24.949335
-234.606727,200,30.731086
-226.12867,200,36.152313
-215.689116,200,41.540664
-241.571261,200,46.99129
-226.475666,200,52.40091
-220.402507,200,57.840829
624.808853,5,58.590488
-218.743465,200,64.039615
-224.142609,200,69.473156
-39.218127,113,72.739213
424.377769,93,75.797534
-168.876287,189,81.054076
-256.015839,200,86.469947
397.148984,113,90.071001
151.158083,33,91.286547
-12.07555,120,94.786874
531.165907,54,96.837173
35.308012,92,99.570324
529.483575,53,101.665215
52.976735,85,104.25317
341.176922,164,109.135965
-222.131082,200,114.552474
-194.503872,200,120.001714
618.003462,6,120.801935
80.539562,74,123.084853
484.854699,94,126.23412
-189.516333,200,131.650656
205.245715,14,132.400261
-194.407097,200,137.783528
-207.85126,200,143.216723
631.263374,3,143.932867
528.437995,52,145.9495
347.658099,145,150.39899
139.647611,49,152.031122
485.992212,44,153.865374
-223.232384,200,159.374406
532.035698,69,161.831703
372.923457,114,165.514692
483.815753,79,168.23876
217.563346,65,170.530518
188.354943,22,171.430654
631.243071,3,172.164182
523.505069,52,174.202014
167.180863,34,175.43002
519.497484,59,177.629544
-183.87634,200,183.062788
-167.439778,200,188.520822
405.369621,127,192.478768
423.813236,113,196.110094
-179.49951,200,201.561422
309.303045,146,206.061658
223.590129,187,211.693707
591.558062,30,213.110504
-234.309008,200,218.589558
337.355634,177,223.911046
189.932158,23,224.859547
563.026488,39,226.529009
-232.875086,200,232.001146
0.268332,125,235.633739
568.212482,38,237.319927
604.121115,18,238.422242
119.711742,62,240.431977
606.958457,18,241.509256
641.749417,17,242.530462
168.679414,32,243.669868
588.849263,27,244.960091
584.711896,28,246.322487
529.895626,60,248.525411
58.962712,94,251.271306
633.987801,3,251.922183
-161.747301,200,257.191518
165.751306,36,258.444421
128.106003,60,260.297232
22.944591,125,263.845185
439.380047,121,267.581493
-137.577111,200,272.800526
517.705745,77,275.342635
528.314778,60,277.481776
39.766625,90,280.102842
75.53739,86,282.608968
-222.35524,200,287.93256
327.76216,16,288.923334
595.828114,27,290.194137
-131.954074,199,295.546433
444.031981,90,298.521366
611.228589,15,299.540579
190.489215,19,300.400682
600.27834,23,301.591321
214.368856,9,302.157318
225.744978,3,302.54636
634.718994,1,303.216695
348.713068,141,307.451524
545.183035,49,309.339959
638.530118,15,310.338365
432.748808,120,313.950697
597.495678,39,315.5677
635.552291,2,316.251974
276.702086,34,317.724097
-193.834599,200,322.945191
-131.690963,200,328.230106
317.091543,14,329.150118
558.151443,45,330.892479
600.58476,20,332.037121
444.363466,77,334.661283
552.44547,46,336.439877
57.585998,101,339.319746
596.264547,41,340.971539
610.518621,12,341.907616
623.341423,11,342.789274
196.942589,20,343.63046
436.990474,121,347.310844
562.2046,42,348.990232
421.912459,111,352.424584
340.590254,9,353.236543
576.628578,42,354.91457
508.577702,68,357.248478
351.654532,174,362.275708
213.341921,10,362.873063
329.393117,179,368.107904
609.07663,19,369.220104
374.267753,168,374.073025
502.351136,83,376.824559
-182.921989,200,382.020466
433.262864,145,386.283503
141.392373,54,387.999784
583.932787,28,389.330524
631.057147,23,390.48658
500.149708,72,392.980672
594.08162,33,394.426028
499.615264,69,396.785714
638.544499,16,397.790941
197.864528,19,398.580158
283.990186,27,399.876996
209.905822,11,400.486874
205.93725,16,401.244221
551.221657,52,403.216162
500.739119,86,406.050281
607.966909,17,407.114634
534.022725,56,409.103862
628.208432,9,409.947293
626.368441,10,410.824425
625.313573,12,411.755202
633.11204,7,412.556178
398.286287,150,417.070466
554.154329,42,418.742664
-123.802888,200,424.003602
561.399298,44,425.742759
484.571445,96,428.852008
630.527128,4,429.545523
266.392427,59,431.706098
154.23604,122,435.359939
472.510308,112,438.83482
322.65603,24,440.012317
65.805943,103,442.960414
442.919282,105,446.25296
482.331743,86,449.047627
438.645247,125,452.811371
554.30029,52,454.773399
649.713688,11,455.668302
414.358007,126,459.763487
194.367887,23,460.682206
663.535207,3,461.358517
611.092308,14,462.443789
564.901601,51,464.414508
645.383667,12,465.374226
614.222037,34,467.232867
640.605329,1,468.130803
544.797126,63,470.599491
489.202495,96,474.456486
661.385341,5,475.477538
484.587561,99,479.65676
494.763304,79,482.989764
205.224728,17,483.902143
564.421623,43,486.028774
624.949174,25,487.497447
527.263165,62,490.236434
538.326376,66,493.098521
93.115307,80,496.137974
383.635317,135,501.55753
547.683226,77,504.824958
588.44989,34,506.67662
301.157423,51,509.062934
618.935548,16,510.210543
211.75259,13,510.997673
639.300257,19,512.257399
636.92025,2,512.963211
621.310918,15,514.06317
612.404848,10,515.101694
618.433056,11,516.166383
556.566637,46,518.334236
637.617433,2,520.653408
589.484201,35,522.452795
577.57346,46,524.63211
594.749403,28,526.167026
598.205845,22,527.604199
492.40549,88,531.367408
336.625342,180,539.312026
200.426652,19,540.360569
625.344482,3,541.259097
566.937183,43,543.479766
576.925524,36,545.457414
225.927226,3,545.92767
418.382939,147,552.107098
604.819418,18,553.408865
599.306441,23,554.97384
579.649843,56,557.590518
235.328487,70,560.879054
542.854133,59,563.717717
583.660129,33,565.580613
164.487078,47,567.712653
334.470655,21,569.125261
621.762933,10,570.111886
154.981022,45,572.106605
538.941204,62,574.969927
-115.819436,200,582.532265
607.581342,38,584.62783
331.98754,12,585.626534
64.968388,102,589.674953
226.358354,3,590.130786
614.466316,13,591.261684
624.340472,7,592.205135
469.955138,103,596.523483
627.443185,8,597.468005
634.944067,5,598.308991
579.158804,38,600.440947
215.713704,11,601.24561
437.836076,126,606.714391
518.879281,84,610.447213
547.591961,63,613.37128
623.762619,7,614.330872
229.0,1,614.707168
608.755479,18,616.012659
224.063956,4,616.508154
157.470489,46,618.546361
634.75889,1,620.118935
191.453111,73,623.659778
609.843875,18,625.012492
514.253235,75,628.522052
620.220883,15,629.731846
555.220078,52,632.388742
606.404389,21,633.779974
526.669004,72,637.08121
601.948094,23,638.547509
216.777512,10,639.286269
631.12917,8,640.301917
394.801081,144,646.299563
628.887837,9,647.359974
623.57068,4,648.171395
597.839629,24,649.689532
629.533813,4,650.52996
656.739272,5,651.418855
403.366012,143,657.797285
209.567386,13,658.630795
460.680378,109,663.326502
598.018852,31,665.105196
618.975546,14,666.244174
617.868527,12,667.494513
582.110844,33,669.388861
168.607735,39,671.118858
617.834395,9,672.077049
143.394428,55,674.33969
629.459747,25,675.832393
152.95542,50,677.936317
566.082621,67,680.954106
534.02855,71,684.166332
626.766512,12,685.223401
425.600313,127,690.399588
618.254588,8,691.603595
191.714844,25,693.040745
654.308873,7,694.068743
540.398337,64,697.194602
331.762525,1,697.88212
631.064496,5,698.67517
168.50159,38,700.294174
564.772645,46,702.514704
571.793505,40,704.566081
329.54722,7,705.374261
513.854493,83,709.842396
646.611117,11,711.155039
91.6718,87,715.132434
619.804922,10,716.246049
631.84949,5,717.177852
636.171403,1,717.956657
229.0,1,718.378079
589.919395,30,720.204734
558.390342,55,722.858585
655.402885,9,723.957089
586.899012,54,726.535367
630.722384,3,727.358966
229.0,1,729.448138
583.016738,34,731.328096
221.197387,6,731.867939
589.554299,36,733.821464
-114.192214,200,741.589915
616.328176,12,742.742712
202.770868,18,743.857756
172.075294,38,746.330887
513.994366,79,750.856174
627.373945,10,751.998641
616.609812,16,753.474283
418.408396,153,760.218623
63.84363,109,764.928958
550.388532,58,768.164747
192.549515,23,769.507222
