#{"t_start": 1754942248.3724322, "env_id": "None"}
r,l,t
-195.681468,200,7.46712
491.757793,68,9.598533
-218.979742,200,14.11178
594.900247,19,15.128766
451.379403,93,17.897805
579.970174,29,19.25937
392.289466,91,22.295194
314.458768,156,26.357327
-266.241917,200,31.821775
201.77868,14,32.511873
33.613979,91,35.312927
-203.961497,200,40.817008
330.596211,142,45.224685
-223.813342,200,51.358329
130.931023,47,53.238942
147.256002,37,54.722397
-203.862684,200,60.404627
32.296054,165,65.823771
375.250296,115,70.332108
-208.881384,200,76.157848
-225.18632,200,83.299943
-247.443202,200,89.157345
-216.513789,200,94.836452
344.155123,131,99.094149
324.828574,137,104.040372
-212.525619,200,111.602664
325.746772,173,117.29763
603.004146,16,118.513356
214.324203,7,119.120446
-203.317186,200,125.060087
324.666188,139,129.445643
-227.226456,200,134.949792
627.18107,7,135.757754
272.452905,184,141.170528
-240.521198,200,146.350784
374.66054,131,150.467776
236.898692,196,156.029895
276.857369,177,161.12416
555.413715,38,162.731642
-216.021204,200,167.892833
-215.774801,200,173.056491
618.057588,9,173.920352
-205.007578,200,179.09991
386.011145,144,183.316266
275.689213,188,188.719074
518.61922,61,191.024619
346.021966,130,195.034834
73.263165,140,199.146474
193.428456,18,199.976954
171.941775,28,201.036044
197.060437,19,201.84083
113.046883,66,203.842618
-246.755144,200,209.041909
588.812885,24,210.254375
478.77273,82,213.008445
503.600839,74,215.484382
384.266103,133,219.562376
315.594213,153,224.163984
141.024525,92,227.184385
329.052496,182,232.530033
453.093075,102,235.77874
7.741142,120,239.385824
300.643765,10,240.225564
541.058519,45,242.02301
518.839293,69,244.536628
-171.860995,200,249.895739
420.672117,118,253.709321
527.515002,62,256.011271
-152.716586,200,261.582371
618.562338,10,262.448483
-225.606832,200,267.769244
-219.969795,200,273.18847
561.54364,40,274.899379
134.617304,55,276.624138
109.224034,70,278.772995
596.887818,22,279.992698
631.321334,5,280.801508
623.591622,10,281.692428
34.588987,157,286.383556
259.78744,35,287.952348
-155.443596,200,293.527822
584.820531,34,295.032264
302.101941,163,299.987809
630.345474,1,300.643176
-140.952467,200,306.027944
519.018534,70,308.512977
102.179187,122,312.340161
-213.92191,200,317.812892
529.436328,55,319.888285
571.709077,40,321.544168
332.338228,150,326.230954
122.187361,143,330.525711
402.061694,156,335.266277
